"graphVizDotNotationLine","Source Cypher File: domains/internal-dependencies/graphs/../queries/path-finding/Path_Finding_6_Longest_paths_contributors_for_graphviz.cypher"
"""axon-eventsourcing-5.1.0\n(level 2/6)"" -> ""axon-modelling-5.1.0\n(level 3/6)"" [label=54; penwidth=1.27; color=""red""; ];",""
"""axon-eventsourcing-5.1.0\n(level 2/6)"" -> ""axon-common-5.1.0\n(level 6/6)"" [label=206; penwidth=2.04; ];",""
"""axon-eventsourcing-5.1.0\n(level 2/6)"" -> ""axon-messaging-5.1.0\n(level 4/6)"" [label=394; penwidth=3.0; ];",""
"""axon-eventsourcing-5.1.0\n(level 2/6)"" -> ""axon-conversion-5.1.0\n(level 5/6)"" [label=8; penwidth=1.03; ];",""
"""axon-conversion-5.1.0\n(level 5/6)"" -> ""axon-common-5.1.0\n(level 6/6)"" [label=34; penwidth=1.16; color=""red""; ];",""
"""axon-update-5.1.0\n(level 0/6)"" -> ""axon-common-5.1.0\n(level 6/6)"" [label=54; penwidth=1.27; ];",""
"""axoniq-spring-boot-autoconfigure-5.1.0\n(level 0/6)"" -> ""axon-server-connector-5.1.0\n(level 1/6)"" [label=16; penwidth=1.07; color=""red""; ];",""
"""axoniq-spring-boot-autoconfigure-5.1.0\n(level 0/6)"" -> ""axon-common-5.1.0\n(level 6/6)"" [label=26; penwidth=1.12; ];",""
"""axoniq-spring-boot-autoconfigure-5.1.0\n(level 0/6)"" -> ""axon-messaging-5.1.0\n(level 4/6)"" [label=12; penwidth=1.05; ];",""
"""axoniq-spring-boot-autoconfigure-5.1.0\n(level 0/6)"" -> ""axon-conversion-5.1.0\n(level 5/6)"" [label=4; penwidth=1.01; ];",""
"""axon-modelling-5.1.0\n(level 3/6)"" -> ""axon-common-5.1.0\n(level 6/6)"" [label=184; penwidth=1.93; ];",""
"""axon-modelling-5.1.0\n(level 3/6)"" -> ""axon-messaging-5.1.0\n(level 4/6)"" [label=308; penwidth=2.56; color=""red""; ];",""
"""axon-modelling-5.1.0\n(level 3/6)"" -> ""axon-conversion-5.1.0\n(level 5/6)"" [label=2; penwidth=1.0; ];",""
"""axon-metrics-micrometer-5.1.0\n(level 0/6)"" -> ""axon-messaging-5.1.0\n(level 4/6)"" [label=64; penwidth=1.32; ];",""
"""axon-metrics-micrometer-5.1.0\n(level 0/6)"" -> ""axon-common-5.1.0\n(level 6/6)"" [label=18; penwidth=1.08; ];",""
"""axon-test-5.1.0\n(level 0/6)"" -> ""axon-messaging-5.1.0\n(level 4/6)"" [label=200; penwidth=2.01; ];",""
"""axon-test-5.1.0\n(level 0/6)"" -> ""axon-common-5.1.0\n(level 6/6)"" [label=84; penwidth=1.42; ];",""
"""axon-test-5.1.0\n(level 0/6)"" -> ""axon-eventsourcing-5.1.0\n(level 2/6)"" [label=6; penwidth=1.02; ];",""
"""axon-tracing-opentelemetry-5.1.0\n(level 0/6)"" -> ""axon-messaging-5.1.0\n(level 4/6)"" [label=22; penwidth=1.1; ];",""
"""axon-tracing-opentelemetry-5.1.0\n(level 0/6)"" -> ""axon-common-5.1.0\n(level 6/6)"" [label=2; penwidth=1.0; ];",""
"""axon-messaging-5.1.0\n(level 4/6)"" -> ""axon-common-5.1.0\n(level 6/6)"" [label=982; penwidth=6.0; ];",""
"""axon-messaging-5.1.0\n(level 4/6)"" -> ""axon-conversion-5.1.0\n(level 5/6)"" [label=88; penwidth=1.44; color=""red""; ];",""
"""axon-server-connector-5.1.0\n(level 1/6)"" -> ""axon-common-5.1.0\n(level 6/6)"" [label=128; penwidth=1.64; ];",""
"""axon-server-connector-5.1.0\n(level 1/6)"" -> ""axon-messaging-5.1.0\n(level 4/6)"" [label=282; penwidth=2.43; ];",""
"""axon-server-connector-5.1.0\n(level 1/6)"" -> ""axon-eventsourcing-5.1.0\n(level 2/6)"" [label=82; penwidth=1.41; color=""red""; ];",""
"""axon-server-connector-5.1.0\n(level 1/6)"" -> ""axon-conversion-5.1.0\n(level 5/6)"" [label=10; penwidth=1.04; ];",""
"""axon-server-connector-5.1.0\n(level 1/6)"" -> ""axon-modelling-5.1.0\n(level 3/6)"" [label=2; penwidth=1.0; ];",""
